player,total_runs,innings,fours,sixes,role,wickets
V Kohli,8014,6236,708,273,Batsman,
S Dhawan,6769,5483,768,153,Batsman,
RG Sharma,6630,5183,599,281,Batsman,
DA Warner,6567,4849,663,236,Batsman,
SK Raina,5536,4177,506,204,Batsman,
MS Dhoni,5243,3947,363,252,Batsman,
AB de Villiers,5181,3487,414,253,Batsman,
CH Gayle,4997,3516,408,359,Batsman,
RV Uthappa,4954,3927,481,182,Batsman,
KD Karthik,4843,3687,466,161,Batsman,
KL Rahul,4689,3578,400,187,Batsman,
AM Rahane,4642,3858,479,103,Batsman,
F du Plessis,4571,3435,422,166,Batsman,
SV Samson,4419,3270,352,206,Batsman,
AT Rayudu,4348,3490,359,173,Batsman,
G Gambhir,4217,3524,492,59,Batsman,
SR Watson,3880,2892,377,190,Batsman,
MK Pandey,3859,3288,335,111,Batsman,
SA Yadav,3594,2522,385,130,Batsman,
JC Buttler,3583,2519,356,161,Batsman,
YS Chahal,0,0,0,0,Bowler,205.0
PP Chawla,0,0,0,0,Bowler,192.0
DJ Bravo,0,0,0,0,Bowler,183.0
B Kumar,0,0,0,0,Bowler,181.0
R Ashwin,0,0,0,0,Bowler,180.0
SP Narine,0,0,0,0,Bowler,180.0
A Mishra,0,0,0,0,Bowler,174.0
SL Malinga,0,0,0,0,Bowler,170.0
JJ Bumrah,0,0,0,0,Bowler,168.0
RA Jadeja,0,0,0,0,Bowler,160.0
Harbhajan Singh,0,0,0,0,Bowler,150.0
Rashid Khan,0,0,0,0,Bowler,149.0
UT Yadav,0,0,0,0,Bowler,144.0
Sandeep Sharma,0,0,0,0,Bowler,137.0
HV Patel,0,0,0,0,Bowler,135.0
MM Sharma,0,0,0,0,Bowler,132.0
Mohammed Shami,0,0,0,0,Bowler,127.0
AR Patel,0,0,0,0,Bowler,123.0
TA Boult,0,0,0,0,Bowler,121.0
K Rabada,0,0,0,0,Bowler,120.0
